Year,id,X,Y,Spec,Date,Visit.Interval,Expos,Fate,Fate2,FirstFound,Stage,BHCONum,InitBHCO,Clutch,InitClutch,AgeFound,Open,KBG,Smooth.Brome,Litter,Bare,Forb,Grasslike,Woody,Litter.Depth,Veg.Height,R1,R2,R3,R4,Paddock,Replicate,Treatment,Notes,...36,DateChecked,LastChecked,LastPresent,Initiation,BHCOPres,Nestling,cTreat,cDoD,pTreat,pDoD,start,end,grazed,grazep,VOR
2021,RWBL04654465176714,465446,5176714,RWBL,6/26/2021,1,3,0,Survive,174,Incubating,0,0,2,0,-4,NA,0,85,15,0,0,0,0,32,590,5,6,5,3,3,NE,MTORG,new nest,NA,177,198,198,178,0,0,Moderate,51.7,Full,60.2,194,215,5,1,4.75
2021,RWBL04654465176714,465446,5176714,RWBL,6/29/2021,2,3,0,Survive,174,Incubating,0,0,4,0,-4,NA,0,85,15,0,0,0,0,32,590,5,6,5,3,3,NE,MTORG,NA,NA,180,198,198,178,0,0,Moderate,51.7,Full,60.2,194,215,5,1,4.75
2021,RWBL04654465176714,465446,5176714,RWBL,7/2/2021,3,3,0,Survive,174,Incubating,0,0,4,0,-4,NA,0,85,15,0,0,0,0,32,590,5,6,5,3,3,NE,MTORG,NA,NA,183,198,198,178,0,0,Moderate,51.7,Full,60.2,194,215,5,1,4.75
2021,RWBL04654465176714,465446,5176714,RWBL,7/5/2021,4,3,0,Survive,174,Incubating,0,0,4,0,-4,NA,0,85,15,0,0,0,0,32,590,5,6,5,3,3,NE,MTORG,bird not at nest but in area,NA,186,198,198,178,0,0,Moderate,51.7,Full,60.2,194,215,5,1,4.75
2021,RWBL04654465176714,465446,5176714,RWBL,7/8/2021,5,3,0,Survive,174,Nestling,0,0,4,0,-4,NA,0,85,15,0,0,0,0,32,590,5,6,5,3,3,NE,MTORG,NA,NA,189,198,198,178,0,1,Moderate,51.7,Full,60.2,194,215,5,1,4.75
2021,RWBL04654465176714,465446,5176714,RWBL,7/11/2021,6,3,0,Survive,174,Nestling,0,0,4,0,-4,NA,0,85,15,0,0,0,0,32,590,5,6,5,3,3,NE,MTORG,nestlings different ages,NA,192,198,198,178,0,1,Moderate,51.7,Full,60.2,194,215,5,1,4.75
2021,RWBL04654465176714,465446,5176714,RWBL,7/14/2021,7,3,0,Survive,174,Nestling,0,0,4,0,-4,NA,0,85,15,0,0,0,0,32,590,5,6,5,3,3,NE,MTORG,nestlings different ages,NA,195,198,198,178,0,1,Moderate,51.7,Full,60.2,194,215,5,1,4.75
2021,RWBL04654465176714,465446,5176714,RWBL,7/17/2021,8,3,0,Survive,174,Nestling,0,0,4,0,-4,NA,0,85,15,0,0,0,0,32,590,5,6,5,3,3,NE,MTORG,partially knocked over; two male and female carrying food,NA,198,198,198,178,0,1,Moderate,51.7,Full,60.2,194,215,5,1,4.75
2021,RWBL04655855176955,465585,5176955,RWBL,6/26/2021,1,3,0,Survive,174,Incubating,4,4,2,2,3,NA,0,0,15,0,0,85,0,39,555,3,6,3,3,3,NE,MTORG,NA,NA,177,195,195,171,1,0,Moderate,51.7,Full,60.2,194,215,2,1,3.75
2021,RWBL04655855176955,465585,5176955,RWBL,6/29/2021,2,3,0,Survive,174,Incubating,4,4,2,2,3,NA,0,0,15,0,0,85,0,39,555,3,6,3,3,3,NE,MTORG,NA,NA,180,195,195,171,1,0,Moderate,51.7,Full,60.2,194,215,2,1,3.75
